row_id,image_id,positionName,categoryName,predictedPosition
0,289343,middleRight,dog,middleRight
1,61471,bottomCenter,dog,bottomCenter
2,472375,middleCenter,dog,middleCenter
3,520301,middleCenter,dog,middleCenter
4,579321,middleCenter,dog,middleCenter
5,494869,bottomLeft,dog,bottomLeft
6,554002,middleRight,dog,middleRight
7,78823,middleCenter,dog,middleCenter
8,419974,bottomLeft,dog,bottomLeft
9,404484,middleCenter,dog,middleCenter
10,329219,bottomCenter,dog,bottomCenter
11,68078,bottomLeft,dog,bottomLeft
12,170893,middleRight,dog,middleCenter
13,65485,middleRight,dog,middleRight
14,498286,middleCenter,dog,middleCenter
15,424162,bottomLeft,dog,bottomLeft
16,61108,middleLeft,dog,topCenter
17,67213,topRight,dog,bottomLeft
18,365207,middleRight,dog,middleCenter
19,131273,middleCenter,dog,middleCenter
20,279278,middleRight,dog,middleRight
21,540502,topLeft,potted plant,middleCenter
22,127182,middleRight,potted plant,middleRight
23,565776,middleLeft,potted plant,middleLeft
24,575970,middleRight,potted plant,middleCenter
25,462614,middleLeft,potted plant,middleLeft
26,407614,topRight,potted plant,topRight
27,522007,middleLeft,potted plant,topLeft
28,78823,topLeft,potted plant,topLeft
29,37777,middleLeft,potted plant,middleRight
30,404484,middleRight,potted plant,middleRight
31,529568,bottomLeft,potted plant,middleLeft
32,42276,topCenter,potted plant,topCenter
33,370818,middleLeft,potted plant,middleLeft
34,68833,middleLeft,tv,middleLeft
35,433915,middleCenter,tv,middleCenter
36,17379,middleCenter,tv,topCenter
37,186632,middleLeft,tv,topLeft
38,440475,middleCenter,tv,middleCenter
39,368900,middleRight,tv,bottomRight
40,9772,topRight,tv,topRight
41,404484,middleLeft,tv,middleLeft
42,525083,middleCenter,tv,topRight
43,383443,middleCenter,tv,middleCenter
44,240940,topCenter,tv,topCenter
45,17899,bottomCenter,bird,bottomCenter
46,508602,middleCenter,bird,middleCenter
47,157807,middleCenter,cat,middleCenter
48,109055,middleCenter,cat,middleCenter
49,23272,topCenter,cat,topCenter
50,134096,middleRight,cat,middleCenter
51,501523,middleCenter,cat,middleCenter
52,125850,middleCenter,cat,middleCenter
53,284623,middleCenter,cat,middleCenter
