row_id,image_id,question,answer,generated_answer
0,289343,Where is the dog located in the image?,The dog is located at the middleRight of the image.,The dog is located at the middleLeft of the image.
1,289343,Where is the person located in the image?,The person is located at the middleCenter of the image.,The person is located at the middleCenter of the image.
2,289343,Where is the dog located in the image and where is the person located in the image?,The dog is located at the middleRight and the person is located at the middleCenter of the image.,The dog is located at the middleLeft and the person is located at the middleCenter of the image.
3,289343,Where are the dog and the person located in the image?,The dog is located at the middleRight and the person is located at the middleCenter of the image.,The dog is located at the middleLeft and the person is located at the middleCenter of the image.
4,289343,What is the position of the dog in the image?,The dog is located at the middleRight of the image.,The dog is located at the middleLeft of the image.
5,289343,Can you tell me where the person is in the picture?,The person is located at the middleCenter of the image.,The person is located at the middleCenter of the image.
6,289343,What is the position of the dog in the image and can you tell me where the person is in the picture?,The dog is located at the middleRight and the person is located at the middleCenter of the image.,The dog is located at the middleLeft and the person is located at the middleCenter of the image.
7,289343,What are the position of the dog and the person in the image?,The dog is located at the middleRight and the person is located at the middleCenter of the image.,The dog is located at the middleLeft and the person is located at the middleCenter of the image.
8,289343,Can you tell me where the dog is in the picture?,The dog is located at the middleRight of the image.,The dog is located at the middleLeft of the image.
9,289343,Locate the person in the image.,The person is located at the middleCenter of the image.,The person is located at the middleCenter of the image.
10,289343,Can you tell me where the dog is in the picture and locate the person in the image.,The dog is located at the middleRight and the person is located at the middleCenter of the image.,The dog is located at the middleLeft and the person is located at the middleCenter of the image.
11,289343,Can you tell me where the dog and the person are in the picture?,The dog is located at the middleRight and the person is located at the middleCenter of the image.,The dog is located at the middleLeft and the person is located at the middleCenter of the image.
12,289343,Describe the location of the person in the image.,The person is located at the middleCenter of the image.,The person is located at the middleCenter of the image.
13,289343,Where can I find the bench in the image?,The bench is located at the bottomLeft of the image.,The bench is located at the bottomCenter of the image.
14,289343,Describe the location of the person in the image and where can I find the bench in the image?,The person is located at the middleCenter and the bench is located at the bottomLeft of the image.,The person is located at the middleCenter and the bench is located at the bottomLeft of the image.
15,289343,Describe the location of the person and the bench in the image.,The person is located at the middleCenter and the bench is located at the bottomLeft of the image.,The person is located at the middleCenter and the bench is located at the bottomCenter of the image.
16,289343,Locate the person in the image.,The person is located at the middleCenter of the image.,The person is located at the middleCenter of the image.
17,289343,Tell me about the placement of the bench in the image.,The bench is located at the bottomLeft of the image.,The bench is located at the bottomCenter of the image.
18,289343,Locate the person in the image and tell me about the placement of the bench in the image.,The person is located at the middleCenter and the bench is located at the bottomLeft of the image.,The person is located at the middleCenter and the bench is located at the bottomCenter of the image.
19,289343,Locate the person and the bench in the image.,The person is located at the middleCenter and the bench is located at the bottomLeft of the image.,The person is located at the middleCenter and the bench is located at the bottomLeft of the image.
20,289343,Identify the position of the person in the picture.,The person is located at the middleCenter of the image.,The person is located at the middleCenter of the image.
21,289343,Specify the position of the bench in the image.,The bench is located at the bottomLeft of the image.,The bench is located at the bottomLeft of the image.
22,289343,Identify the position of the person in the picture and specify the position of the bench in the image.,The person is located at the middleCenter and the bench is located at the bottomLeft of the image.,The person is located at the middleCenter and the bench is located at the bottomLeft of the image.
23,289343,Identify the position of the person and the bench in the picture.,The person is located at the middleCenter and the bench is located at the bottomLeft of the image.,The person is located at the middleCenter and the bench is located at the bottomLeft of the image.
24,289343,Where can I find the bench in the image?,The bench is located at the bottomLeft of the image.,The bench is located at the bottomCenter of the image.
25,289343,In which part of the image is the bicycle situated?,The bicycle is located at the middleCenter of the image.,The bicycle is located at the middleCenter of the image.
26,289343,Where can I find the bench in the image and in which part of the image is the bicycle situated?,The bench is located at the bottomLeft and the bicycle is located at the middleCenter of the image.,The bench is located at the bottomCenter and the bicycle is located at the middleCenter of the image.
27,289343,Where can I find the bench and the bicycle in the image?,The bench is located at the bottomLeft and the bicycle is located at the middleCenter of the image.,The bench is located at the bottomCenter and the bicycle is located at the middleCenter of the image.
28,289343,Point out the location of the bench.,The bench is located at the bottomLeft of the image.,The bench is located at the bottomCenter of the image.
29,289343,Point out the location of the bicycle.,The bicycle is located at the middleCenter of the image.,The bicycle is located at the middleCenter of the image.
30,289343,Point out the location of the bench and point out the location of the bicycle.,The bench is located at the bottomLeft and the bicycle is located at the middleCenter of the image.,The bench is located at the bottomCenter and the bicycle is located at the middleCenter of the image.
31,289343,Point out the location of the bench and the bicycle.,The bench is located at the bottomLeft and the bicycle is located at the middleCenter of the image.,The bench is located at the bottomCenter and the bicycle is located at the middleCenter of the image.
32,289343,Tell me about the placement of the bench in the image.,The bench is located at the bottomLeft of the image.,The bench is located at the bottomCenter of the image.
33,289343,Give me the whereabouts of the bicycle in the picture.,The bicycle is located at the middleCenter of the image.,The bicycle is located at the middleCenter of the image.
34,289343,Tell me about the placement of the bench in the image and give me the whereabouts of the bicycle in the picture.,The bench is located at the bottomLeft and the bicycle is located at the middleCenter of the image.,The bench is located at the bottomCenter and the bicycle is located at the bottomCenter of the image.
35,289343,Tell me about the placement of the bench and the bicycle in the image.,The bench is located at the bottomLeft and the bicycle is located at the middleCenter of the image.,The bench is located at the bottomLeft and the bicycle is located at the bottomCenter of the image.
36,61471,Give me the whereabouts of the dog in the picture.,The dog is located at the bottomCenter of the image.,The dog is located at the middleCenter of the image.
37,61471,Elaborate on the whereabouts of the bottle in the picture.,The bottle is located at the topLeft of the image.,The bottle is located at the topLeft of the image.
38,61471,Give me the whereabouts of the dog in the picture and elaborate on the whereabouts of the bottle in the picture.,The dog is located at the bottomCenter and the bottle is located at the topLeft of the image.,The dog is located at the middleCenter and the bottle is located at the topRight of the image.
39,61471,Give me the whereabouts of the dog and the bottle in the picture.,The dog is located at the bottomCenter and the bottle is located at the topLeft of the image.,The dog is located at the middleCenter and the bottle is located at the topRight of the image.
40,61471,Specify the position of the dog in the image.,The dog is located at the bottomCenter of the image.,The dog is located at the middleCenter of the image.
41,61471,Pinpoint the location of the bottle in the image.,The bottle is located at the topLeft of the image.,The bottle is located at the topRight of the image.
42,61471,Specify the position of the dog in the image and pinpoint the location of the bottle in the image.,The dog is located at the bottomCenter and the bottle is located at the topLeft of the image.,The dog is located at the middleCenter and the bottle is located at the topCenter of the image.
43,61471,Specify the position of the dog and the bottle in the image.,The dog is located at the bottomCenter and the bottle is located at the topLeft of the image.,The dog is located at the middleCenter and the bottle is located at the topLeft of the image.
44,61471,Elaborate on the whereabouts of the dog in the picture.,The dog is located at the bottomCenter of the image.,The dog is located at the middleCenter of the image.
45,61471,Locate the bottle in the image.,The bottle is located at the topLeft of the image.,The bottle is located at the topLeft of the image.
46,61471,Elaborate on the whereabouts of the dog in the picture and locate the bottle in the image.,The dog is located at the bottomCenter and the bottle is located at the topLeft of the image.,The dog is located at the middleCenter and the bottle is located at the topCenter of the image.
47,61471,Elaborate on the whereabouts of the dog and the bottle in the picture.,The dog is located at the bottomCenter and the bottle is located at the topLeft of the image.,The dog is located at the middleCenter and the bottle is located at the topRight of the image.
48,61471,In which part of the image is the bottle situated?,The bottle is located at the topLeft of the image.,The bottle is located at the topRight of the image.
49,61471,Where can I find the toilet in the image?,The toilet is located at the topCenter of the image.,The toilet is located at the middleLeft of the image.
50,61471,In which part of the image is the bottle situated and where can I find the toilet in the image?,The bottle is located at the topLeft and the toilet is located at the topCenter of the image.,The bottle is located at the topRight and the toilet is located at the middleRight of the image.
51,61471,In which part of the image are the bottle and the toilet situated?,The bottle is located at the topLeft and the toilet is located at the topCenter of the image.,The bottle is located at the topRight and the toilet is located at the middleLeft of the image.
52,61471,Pinpoint the location of the bottle in the image.,The bottle is located at the topLeft of the image.,The bottle is located at the topRight of the image.
53,61471,Tell me about the placement of the toilet in the image.,The toilet is located at the topCenter of the image.,The toilet is located at the topLeft of the image.
54,61471,Pinpoint the location of the bottle in the image and tell me about the placement of the toilet in the image.,The bottle is located at the topLeft and the toilet is located at the topCenter of the image.,The bottle is located at the topRight and the toilet is located at the middleLeft of the image.
55,61471,Pinpoint the location of the bottle and the toilet in the image.,The bottle is located at the topLeft and the toilet is located at the topCenter of the image.,The bottle is located at the topRight and the toilet is located at the middleLeft of the image.
56,61471,Describe where the bottle is placed in the picture.,The bottle is located at the topLeft of the image.,The bottle is located at the topRight of the image.
57,61471,Describe the location of the toilet in the image.,The toilet is located at the topCenter of the image.,The toilet is located at the topLeft of the image.
58,61471,Describe where the bottle is placed in the picture and describe the location of the toilet in the image.,The bottle is located at the topLeft and the toilet is located at the topCenter of the image.,The bottle is located at the topLeft and the toilet is located at the middleLeft of the image.
59,61471,Describe where the bottle and the toilet are placed in the picture.,The bottle is located at the topLeft and the toilet is located at the topCenter of the image.,The bottle is located at the topRight and the toilet is located at the middleLeft of the image.
60,472375,Locate the the dog within the image.,The dog is located at the middleCenter of the image.,The dog is located at the bottomCenter of the image.
61,472375,Identify the position of the motorcycle in the picture.,The motorcycle is located at the middleCenter of the image.,The motorcycle is located at the topLeft of the image.
62,472375,Locate the the dog within the image and identify the position of the motorcycle in the picture.,The dog is located at the middleCenter and the motorcycle is located at the middleCenter of the image.,The dog is located at the bottomCenter and the motorcycle is located at the middleRight of the image.
63,472375,Locate the the dog and the motorcycle within the image.,The dog is located at the middleCenter and the motorcycle is located at the middleCenter of the image.,The dog is located at the bottomCenter and the motorcycle is located at the topLeft of the image.
