row_id,image_id,question,answer,generated_answer
18699,724,What is the position of the truck in the image?,The truck is located at the middleCenter of the image.,The truck is located at the middleCenter of the image.
18700,724,What is the position of the car in the image?,The car is located at the middleCenter of the image.,The car is located at the middleCenter of the image.
18701,724,What is the position of the truck in the image and what is the position of the car in the image?,The truck is located at the middleCenter and the car is located at the middleCenter of the image.,The truck is located at the middleCenter and the car is located at the middleCenter of the image.
18702,724,What are the position of the truck and the car in the image?,The truck is located at the middleCenter and the car is located at the middleCenter of the image.,The truck is located at the middleCenter and the car is located at the middleCenter of the image.
18703,724,Can you tell me where the truck is in the picture?,The truck is located at the middleCenter of the image.,The truck is located at the middleCenter of the image.
18704,724,Describe the location of the car in the image.,The car is located at the middleCenter of the image.,The car is located at the middleCenter of the image.
18705,724,Can you tell me where the truck is in the picture and describe the location of the car in the image.,The truck is located at the middleCenter and the car is located at the middleCenter of the image.,The truck is located at the middleCenter and the car is located at the middleCenter of the image.
18706,724,Can you tell me where the truck and the car are in the picture?,The truck is located at the middleCenter and the car is located at the middleCenter of the image.,The truck is located at the middleCenter and the car is located at the middleCenter of the image.
18707,724,Describe the location of the truck in the image.,The truck is located at the middleCenter of the image.,The truck is located at the middleCenter of the image.
18708,724,Identify the position of the car in the picture.,The car is located at the middleCenter of the image.,The car is located at the middleCenter of the image.
18709,724,Describe the location of the truck in the image and identify the position of the car in the picture.,The truck is located at the middleCenter and the car is located at the middleCenter of the image.,The truck is located at the middleCenter and the car is located at the middleCenter of the image.
18710,724,Describe the location of the truck and the car in the image.,The truck is located at the middleCenter and the car is located at the middleCenter of the image.,The truck is located at the middleCenter and the car is located at the middleCenter of the image.
23014,285,Elaborate on the general whereabouts of the bear in the picture.,The bear is located at the middleCenter of the image.,The bear is located at the middleCenter of the image.
25964,785,Describe the location of the person in the image.,The person is located at the middleCenter of the image.,The person is located at the middleCenter of the image.
25965,785,Tell me about the placement of the skis in the image.,The skis is located at the bottomCenter of the image.,The skis is located at the middleCenter of the image.
25966,785,Describe the location of the person in the image and tell me about the placement of the skis in the image.,The person is located at the middleCenter and the skis is located at the bottomCenter of the image.,The person is located at the middleCenter and the skis are located at the middleCenter of the image.
25967,785,Describe the location of the person and the skis in the image.,The person is located at the middleCenter and the skis is located at the bottomCenter of the image.,The person is located at the middleCenter and the skis are located at the middleCenter of the image.
25968,785,Locate the person in the image.,The person is located at the middleCenter of the image.,The person is located at the middleCenter of the image.
25969,785,Specify the position of the skis in the image.,The skis is located at the bottomCenter of the image.,The skis is located at the middleCenter of the image.
25970,785,Locate the person in the image and specify the position of the skis in the image.,The person is located at the middleCenter and the skis is located at the bottomCenter of the image.,The person is located at the middleCenter and the skis are located at the middleCenter of the image.
25971,785,Locate the person and the skis in the image.,The person is located at the middleCenter and the skis is located at the bottomCenter of the image.,The person is located at the middleCenter and the skis are located at the middleCenter of the image.
25972,785,Identify the position of the person in the picture.,The person is located at the middleCenter of the image.,The person is located at the middleCenter of the image.
25973,785,In which part of the image is the skis situated?,The skis is located at the bottomCenter of the image.,The skis is located at the middleCenter of the image.
25974,785,Identify the position of the person in the picture and in which part of the image is the skis situated?,The person is located at the middleCenter and the skis is located at the bottomCenter of the image.,The person is located at the middleCenter and the skis are located at the middleCenter of the image.
25975,785,Identify the position of the person and the skis in the picture.,The person is located at the middleCenter and the skis is located at the bottomCenter of the image.,The person is located at the middleCenter and the skis are located at the middleCenter of the image.
34159,776,Specify the exact position of the bed in the image.,The bed is located at the middleCenter of the image.,The bed is located at the middleCenter of the image.
34535,139,Which area of the image is the potted plant located in?,The potted plant is located at the middleCenter of the image.,The potted plant is located at the middleCenter of the image.
34536,139,Where can I find the microwave in the image?,The microwave is located at the middleRight of the image.,The microwave is located at the middleCenter of the image.
34537,139,Which area of the image is the potted plant located in and where can I find the microwave in the image?,The potted plant is located at the middleCenter and the microwave is located at the middleRight of the image.,The potted plant is located at the middleCenter and the microwave is located at the middleCenter of the image.
34538,139,Which area of the image are the potted plant and the microwave located in?,The potted plant is located at the middleCenter and the microwave is located at the middleRight of the image.,The potted plant is located at the bottomCenter and the microwave is located at the middleCenter of the image.
34539,139,Tell me the spot where the potted plant is placed in the picture.,The potted plant is located at the middleCenter of the image.,The potted plant is located at the middleCenter of the image.
34540,139,Tell me about the placement of the microwave in the image.,The microwave is located at the middleRight of the image.,The microwave is located at the middleCenter of the image.
34541,139,Tell me the spot where the potted plant is placed in the picture and tell me about the placement of the microwave in the image.,The potted plant is located at the middleCenter and the microwave is located at the middleRight of the image.,The potted plant is located at the middleCenter and the microwave is located at the middleCenter of the image.
34542,139,Tell me the spot where the potted plant and the microwave are placed in the picture.,The potted plant is located at the middleCenter and the microwave is located at the middleRight of the image.,The potted plant is located at the middleCenter and the microwave is located at the middleCenter of the image.
34543,139,Provide information about the location of the potted plant in the image.,The potted plant is located at the middleCenter of the image.,The potted plant is located at the middleCenter of the image.
34544,139,Specify the position of the microwave in the image.,The microwave is located at the middleRight of the image.,The microwave is located at the middleCenter of the image.
34545,139,Provide information about the location of the potted plant in the image and specify the position of the microwave in the image.,The potted plant is located at the middleCenter and the microwave is located at the middleRight of the image.,The potted plant is located at the middleCenter and the microwave is located at the middleCenter of the image.
34546,139,Provide information about the location of the potted plant and the microwave in the image.,The potted plant is located at the middleCenter and the microwave is located at the middleRight of the image.,The potted plant is located at the middleCenter and the microwave is located at the middleCenter of the image.
34547,139,Identify the general area where the microwave is located in the picture.,The microwave is located at the middleRight of the image.,The microwave is located at the middleCenter of the image.
34548,139,In which part of the image is the refrigerator situated?,The refrigerator is located at the middleRight of the image.,The refrigerator is located at the middleCenter of the image.
34549,139,Identify the general area where the microwave is located in the picture and in which part of the image is the refrigerator situated?,The microwave is located at the middleRight and the refrigerator is located at the middleRight of the image.,The microwave is located at the middleCenter and the refrigerator is located at the middleCenter of the image.
34550,139,Identify the general area where the microwave and the refrigerator are located in the picture.,The microwave is located at the middleRight and the refrigerator is located at the middleRight of the image.,The microwave is located at the middleCenter and the refrigerator is located at the middleCenter of the image.
34551,139,Elaborate on the general whereabouts of the microwave in the picture.,The microwave is located at the middleRight of the image.,The microwave is located at the middleCenter of the image.
34552,139,Describe where the refrigerator is placed in the picture.,The refrigerator is located at the middleRight of the image.,The refrigerator is located at the middleCenter of the image.
34553,139,Elaborate on the general whereabouts of the microwave in the picture and describe where the refrigerator is placed in the picture.,The microwave is located at the middleRight and the refrigerator is located at the middleRight of the image.,The microwave is located at the middleCenter and the refrigerator is located at the middleCenter of the image.
34554,139,Elaborate on the general whereabouts of the microwave and the refrigerator in the picture.,The microwave is located at the middleRight and the refrigerator is located at the middleRight of the image.,The microwave is located at the middleCenter and the refrigerator is located at the middleCenter of the image.
34555,139,Tell me about the placement of the microwave in the image.,The microwave is located at the middleRight of the image.,The microwave is located at the middleCenter of the image.
34556,139,Indicate the position of the refrigerator in the picture.,The refrigerator is located at the middleRight of the image.,The refrigerator is located at the middleCenter of the image.
34557,139,Tell me about the placement of the microwave in the image and indicate the position of the refrigerator in the picture.,The microwave is located at the middleRight and the refrigerator is located at the middleRight of the image.,The microwave is located at the middleCenter and the refrigerator is located at the middleCenter of the image.
34558,139,Tell me about the placement of the microwave and the refrigerator in the image.,The microwave is located at the middleRight and the refrigerator is located at the middleRight of the image.,The microwave is located at the middleCenter and the refrigerator is located at the middleCenter of the image.
34559,139,Where is the refrigerator located in the image?,The refrigerator is located at the middleRight of the image.,The refrigerator is located at the middleCenter of the image.
34560,139,Where is the clock located in the image?,The clock is located at the topRight of the image.,The clock is located at the middleCenter of the image.
34561,139,Where is the refrigerator located in the image and where is the clock located in the image?,The refrigerator is located at the middleRight and the clock is located at the topRight of the image.,The refrigerator is located at the middleCenter and the clock is located at the middleCenter of the image.
34562,139,Where are the refrigerator and the clock located in the image?,The refrigerator is located at the middleRight and the clock is located at the topRight of the image.,The refrigerator is located at the middleCenter and the clock is located at the middleCenter of the image.
34563,139,What is the position of the refrigerator in the image?,The refrigerator is located at the middleRight of the image.,The refrigerator is located at the middleCenter of the image.
34564,139,Can you tell me where the clock is in the picture?,The clock is located at the topRight of the image.,The clock is located at the middleCenter of the image.
34565,139,What is the position of the refrigerator in the image and can you tell me where the clock is in the picture?,The refrigerator is located at the middleRight and the clock is located at the topRight of the image.,The refrigerator is located at the middleCenter and the clock is located at the middleCenter of the image.
34566,139,What are the position of the refrigerator and the clock in the image?,The refrigerator is located at the middleRight and the clock is located at the topRight of the image.,The refrigerator is located at the middleCenter and the clock is located at the middleCenter of the image.
34567,139,Can you tell me where the refrigerator is in the picture?,The refrigerator is located at the middleRight of the image.,The refrigerator is located at the middleCenter of the image.
34568,139,Locate the clock in the image.,The clock is located at the topRight of the image.,The clock is located at the middleCenter of the image.
34569,139,Can you tell me where the refrigerator is in the picture and locate the clock in the image.,The refrigerator is located at the middleRight and the clock is located at the topRight of the image.,The refrigerator is located at the middleCenter and the clock is located at the middleCenter of the image.
34570,139,Can you tell me where the refrigerator and the clock are in the picture?,The refrigerator is located at the middleRight and the clock is located at the topRight of the image.,The refrigerator is located at the middleCenter and the clock is located at the middleCenter of the image.
34571,139,Describe the location of the clock in the image.,The clock is located at the topRight of the image.,The clock is located at the middleCenter of the image.
34572,139,Where can I find the dining table in the image?,The dining table is located at the middleCenter of the image.,The dining table is located at the middleCenter of the image.
34573,139,Describe the location of the clock in the image and where can I find the dining table in the image?,The clock is located at the topRight and the dining table is located at the middleCenter of the image.,The clock is located at the middleCenter and the dining table is located at the middleCenter of the image.
34574,139,Describe the location of the clock and the dining table in the image.,The clock is located at the topRight and the dining table is located at the middleCenter of the image.,The clock is located at the middleCenter and the dining table is located at the middleCenter of the image.
34575,139,Locate the clock in the image.,The clock is located at the topRight of the image.,The clock is located at the middleCenter of the image.
34576,139,Tell me about the placement of the dining table in the image.,The dining table is located at the middleCenter of the image.,The dining table is located at the middleCenter of the image.
34577,139,Locate the clock in the image and tell me about the placement of the dining table in the image.,The clock is located at the topRight and the dining table is located at the middleCenter of the image.,The clock is located at the middleCenter and the dining table is located at the middleCenter of the image.
34578,139,Locate the clock and the dining table in the image.,The clock is located at the topRight and the dining table is located at the middleCenter of the image.,The clock is located at the middleCenter and the dining table is located at the middleCenter of the image.
34579,139,Identify the position of the clock in the picture.,The clock is located at the topRight of the image.,The clock is located at the middleCenter of the image.
34580,139,Specify the position of the dining table in the image.,The dining table is located at the middleCenter of the image.,The dining table is located at the middleCenter of the image.
34581,139,Identify the position of the clock in the picture and specify the position of the dining table in the image.,The clock is located at the topRight and the dining table is located at the middleCenter of the image.,The clock is located at the middleCenter and the dining table is located at the middleCenter of the image.
34582,139,Identify the position of the clock and the dining table in the picture.,The clock is located at the topRight and the dining table is located at the middleCenter of the image.,The clock is located at the middleCenter and the dining table is located at the middleCenter of the image.
38459,632,Pinpoint the location of the bed in the image.,The bed is located at the bottomLeft of the image.,The bed is located at the middleCenter of the image.
38460,632,Give me the whereabouts of the chair in the picture.,The chair is located at the middleCenter of the image.,The chair is located at the middleCenter of the image.
38461,632,Pinpoint the location of the bed in the image and give me the whereabouts of the chair in the picture.,The bed is located at the bottomLeft and the chair is located at the middleCenter of the image.,The bed is located at the middleCenter and the chair is located at the middleCenter of the image.
38462,632,Pinpoint the location of the bed and the chair in the image.,The bed is located at the bottomLeft and the chair is located at the middleCenter of the image.,The bed is located at the middleCenter and the chair is located at the middleCenter of the image.
38463,632,Describe where the bed is placed in the picture.,The bed is located at the bottomLeft of the image.,The bed is located at the middleCenter of the image.
38464,632,Locate the chair in the image.,The chair is located at the middleCenter of the image.,The chair is located at the middleCenter of the image.
38465,632,Describe where the bed is placed in the picture and locate the chair in the image.,The bed is located at the bottomLeft and the chair is located at the middleCenter of the image.,The bed is located at the middleCenter and the chair is located at the middleCenter of the image.
38466,632,Describe where the bed and the chair are placed in the picture.,The bed is located at the bottomLeft and the chair is located at the middleCenter of the image.,The bed is located at the middleCenter and the chair is located at the middleCenter of the image.
38467,632,Locate the the bed within the image.,The bed is located at the bottomLeft of the image.,The bed is located at the middleCenter of the image.
38468,632,Where can I find the chair in the image?,The chair is located at the middleCenter of the image.,The chair is located at the middleCenter of the image.
38469,632,Locate the the bed within the image and where can I find the chair in the image?,The bed is located at the bottomLeft and the chair is located at the middleCenter of the image.,The bed is located at the middleCenter and the chair is located at the middleCenter of the image.
38470,632,Locate the the bed and the chair within the image.,The bed is located at the bottomLeft and the chair is located at the middleCenter of the image.,The bed is located at the middleCenter and the chair is located at the middleCenter of the image.
41596,885,Point out the location of the tennis racket.,The tennis racket is located at the bottomRight of the image.,The tennis racket is located at the middleCenter of the image.
41612,1000,Describe where the tennis racket is placed in the picture.,The tennis racket is located at the bottomLeft of the image.,The tennis racket is located at the middleCenter of the image.
45498,872,Can you tell me where the sports ball is in the picture?,The sports ball is located at the topRight of the image.,The sports ball is located at the middleCenter of the image.
45499,872,Identify the position of the baseball glove in the picture.,The baseball glove is located at the topCenter of the image.,The baseball glove is located at the middleCenter of the image.
45500,872,Can you tell me where the sports ball is in the picture and identify the position of the baseball glove in the picture.,The sports ball is located at the topRight and the baseball glove is located at the topCenter of the image.,The sports ball is located at the middleCenter and the baseball glove is located at the middleCenter of the image.
45501,872,Can you tell me where the sports ball and the baseball glove are in the picture?,The sports ball is located at the topRight and the baseball glove is located at the topCenter of the image.,The sports ball is located at the middleCenter and the baseball glove is located at the middleCenter of the image.
45502,872,Describe the location of the sports ball in the image.,The sports ball is located at the topRight of the image.,The sports ball is located at the middleCenter of the image.
45503,872,Point out the location of the baseball glove.,The baseball glove is located at the topCenter of the image.,The baseball glove is located at the middleCenter of the image.
45504,872,Describe the location of the sports ball in the image and point out the location of the baseball glove.,The sports ball is located at the topRight and the baseball glove is located at the topCenter of the image.,The sports ball is located at the middleCenter and the baseball glove is located at the middleCenter of the image.
45505,872,Describe the location of the sports ball and the baseball glove in the image.,The sports ball is located at the topRight and the baseball glove is located at the topCenter of the image.,The sports ball is located at the middleCenter and the baseball glove is located at the middleCenter of the image.
45506,872,Locate the sports ball in the image.,The sports ball is located at the topRight of the image.,The sports ball is located at the middleCenter of the image.
45507,872,Give me the whereabouts of the baseball glove in the picture.,The baseball glove is located at the topCenter of the image.,The baseball glove is located at the middleCenter of the image.
45508,872,Locate the sports ball in the image and give me the whereabouts of the baseball glove in the picture.,The sports ball is located at the topRight and the baseball glove is located at the topCenter of the image.,The sports ball is located at the middleCenter and the baseball glove is located at the middleCenter of the image.
45509,872,Locate the sports ball and the baseball glove in the image.,The sports ball is located at the topRight and the baseball glove is located at the topCenter of the image.,The sports ball is located at the middleCenter and the baseball glove is located at the middleCenter of the image.
51906,802,Pinpoint the location of the refrigerator in the image.,The refrigerator is located at the middleRight of the image.,The refrigerator is located at the bottomCenter of the image.
51907,802,In which part of the image is the oven situated?,The oven is located at the middleLeft of the image.,The oven is located at the middleCenter of the image.
51908,802,Pinpoint the location of the refrigerator in the image and in which part of the image is the oven situated?,The refrigerator is located at the middleRight and the oven is located at the middleLeft of the image.,The refrigerator is located at the middleCenter and the oven is located at the middleCenter of the image.
51909,802,Pinpoint the location of the refrigerator and the oven in the image.,The refrigerator is located at the middleRight and the oven is located at the middleLeft of the image.,The refrigerator is located at the middleCenter and the oven is located at the middleCenter of the image.
51910,802,Describe where the refrigerator is placed in the picture.,The refrigerator is located at the middleRight of the image.,The refrigerator is located at the middleCenter of the image.
51911,802,Point out the location of the oven.,The oven is located at the middleLeft of the image.,The oven is located at the middleCenter of the image.
51912,802,Describe where the refrigerator is placed in the picture and point out the location of the oven.,The refrigerator is located at the middleRight and the oven is located at the middleLeft of the image.,The refrigerator is located at the middleCenter and the oven is located at the middleCenter of the image.
51913,802,Describe where the refrigerator and the oven are placed in the picture.,The refrigerator is located at the middleRight and the oven is located at the middleLeft of the image.,The refrigerator is located at the middleCenter and the oven is located at the middleCenter of the image.
51914,802,Locate the the refrigerator within the image.,The refrigerator is located at the middleRight of the image.,The refrigerator is located at the middleCenter of the image.
51915,802,Give me the whereabouts of the oven in the picture.,The oven is located at the middleLeft of the image.,The oven is located at the middleCenter of the image.
